16/06/21 16:11:25
122 seconds passed 
f2b9f2d5b748        0.36%               692.3 MB / 16.78 GB   4.13%               11.26 MB / 1.716 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               430.1 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.5 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        0.02%               48.87 MB / 16.78 GB   0.29%               2.288 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:45
142 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.39%               692.3 MB / 16.78 GB   4.13%               11.26 MB / 1.716 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               430.1 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.5 MB / 1.195 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.87 MB / 16.78 GB   0.29%               2.288 GB / 1.025 GB   0 B / 36.86 kB      0
16/06/21 16:11:47
144 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        5.01%               692.3 MB / 16.78 GB   4.13%               11.67 MB / 1.728 MB   0 B / 69.63 kB      0
6fcb7d6556d0        10.83%              101.7 MB / 16.78 GB   0.61%               430.2 MB / 1.055 GB   0 B / 5.632 MB      0
a807a17d1bd8        3.28%               7.725 MB / 16.78 GB   0.05%               331.6 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        36.78%              49.31 MB / 16.78 GB   0.29%               2.289 GB / 1.026 GB   0 B / 36.86 kB      0
16/06/21 16:11:49
146 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.84%               692.3 MB / 16.78 GB   4.13%               11.67 MB / 1.731 MB   0 B / 69.63 kB      0
6fcb7d6556d0        3.98%               101.7 MB / 16.78 GB   0.61%               430.3 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        1.16%               7.725 MB / 16.78 GB   0.05%               331.7 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        10.26%              48.84 MB / 16.78 GB   0.29%               2.289 GB / 1.026 GB   0 B / 36.86 kB      0
16/06/21 16:11:51
148 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.70%               692.4 MB / 16.78 GB   4.13%               11.68 MB / 1.733 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.10%               101.7 MB / 16.78 GB   0.61%               430.3 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.7 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.1 MB / 16.78 GB    0.29%               2.289 GB / 1.026 GB   0 B / 36.86 kB      0
16/06/21 16:11:53
150 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.40%               692.3 MB / 16.78 GB   4.13%               11.68 MB / 1.733 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               430.3 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.7 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        0.02%               49.1 MB / 16.78 GB    0.29%               2.289 GB / 1.026 GB   0 B / 36.86 kB      0
16/06/21 16:11:55
152 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.38%               692.3 MB / 16.78 GB   4.13%               11.68 MB / 1.733 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.07%               101.7 MB / 16.78 GB   0.61%               430.3 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.7 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        0.02%               49.1 MB / 16.78 GB    0.29%               2.289 GB / 1.026 GB   0 B / 36.86 kB      0
16/06/21 16:11:57
154 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        4.56%               692.3 MB / 16.78 GB   4.13%               12.08 MB / 1.744 MB   0 B / 69.63 kB      0
6fcb7d6556d0        12.68%              101.7 MB / 16.78 GB   0.61%               430.5 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        3.21%               7.725 MB / 16.78 GB   0.05%               331.8 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        30.79%              49.4 MB / 16.78 GB    0.29%               2.29 GB / 1.027 GB    0 B / 36.86 kB      0
16/06/21 16:11:59
156 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.97%               692.3 MB / 16.78 GB   4.13%               12.08 MB / 1.747 MB   0 B / 69.63 kB      0
6fcb7d6556d0        3.71%               101.7 MB / 16.78 GB   0.61%               430.5 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.89%               7.725 MB / 16.78 GB   0.05%               331.8 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        10.33%              49.15 MB / 16.78 GB   0.29%               2.29 GB / 1.027 GB    0 B / 36.86 kB      0
16/06/21 16:12:01
158 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.63%               692.3 MB / 16.78 GB   4.13%               12.09 MB / 1.749 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               430.6 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.9 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.17 MB / 16.78 GB   0.29%               2.29 GB / 1.027 GB    0 B / 36.86 kB      0
16/06/21 16:12:03
160 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.40%               692.3 MB / 16.78 GB   4.13%               12.09 MB / 1.749 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.06%               101.7 MB / 16.78 GB   0.61%               430.6 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.01%               7.725 MB / 16.78 GB   0.05%               331.9 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.17 MB / 16.78 GB   0.29%               2.29 GB / 1.027 GB    0 B / 36.86 kB      0
16/06/21 16:12:05
162 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.39%               692.3 MB / 16.78 GB   4.13%               12.09 MB / 1.749 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.07%               101.7 MB / 16.78 GB   0.61%               430.6 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               331.9 MB / 1.196 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.17 MB / 16.78 GB   0.29%               2.29 GB / 1.027 GB    0 B / 36.86 kB      0
16/06/21 16:12:07
164 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        5.94%               692.3 MB / 16.78 GB   4.13%               12.14 MB / 1.758 MB   0 B / 69.63 kB      0
6fcb7d6556d0        12.12%              101.7 MB / 16.78 GB   0.61%               430.7 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        4.39%               7.725 MB / 16.78 GB   0.05%               332 MB / 1.197 GB     0 B / 0 B           0
942b37b9b20c        43.29%              48.98 MB / 16.78 GB   0.29%               2.291 GB / 1.027 GB   0 B / 36.86 kB      0
16/06/21 16:12:09
166 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.90%               692.3 MB / 16.78 GB   4.13%               12.14 MB / 1.76 MB    0 B / 69.63 kB      0
6fcb7d6556d0        2.25%               101.7 MB / 16.78 GB   0.61%               430.8 MB / 1.056 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.98%               7.725 MB / 16.78 GB   0.05%               332 MB / 1.197 GB     0 B / 0 B           0
942b37b9b20c        9.82%               49.14 MB / 16.78 GB   0.29%               2.291 GB / 1.027 GB   0 B / 36.86 kB      0
16/06/21 16:12:11
168 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.40%               692.3 MB / 16.78 GB   4.13%               12.15 MB / 1.762 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               430.8 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332 MB / 1.197 GB     0 B / 0 B           0
942b37b9b20c        0.03%               49.14 MB / 16.78 GB   0.29%               2.291 GB / 1.027 GB   0 B / 36.86 kB      0
16/06/21 16:12:13
170 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.39%               692.3 MB / 16.78 GB   4.13%               12.15 MB / 1.762 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.07%               101.7 MB / 16.78 GB   0.61%               430.8 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332 MB / 1.197 GB     0 B / 0 B           0
942b37b9b20c        0.03%               49.14 MB / 16.78 GB   0.29%               2.291 GB / 1.027 GB   0 B / 36.86 kB      0
16/06/21 16:12:15
172 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.40%               692.3 MB / 16.78 GB   4.13%               12.15 MB / 1.762 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.07%               101.7 MB / 16.78 GB   0.61%               430.8 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332 MB / 1.197 GB     0 B / 0 B           0
942b37b9b20c        0.03%               49.14 MB / 16.78 GB   0.29%               2.291 GB / 1.027 GB   0 B / 36.86 kB      0
16/06/21 16:12:17
174 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        4.25%               692.3 MB / 16.78 GB   4.13%               12.16 MB / 1.769 MB   0 B / 69.63 kB      0
6fcb7d6556d0        21.53%              101.7 MB / 16.78 GB   0.61%               431 MB / 1.057 GB     0 B / 5.632 MB      0
a807a17d1bd8        4.59%               7.725 MB / 16.78 GB   0.05%               332.1 MB / 1.197 GB   0 B / 0 B           0
942b37b9b20c        43.81%              49.75 MB / 16.78 GB   0.30%               2.292 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:19
176 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.83%               692.3 MB / 16.78 GB   4.13%               12.17 MB / 1.773 MB   0 B / 69.63 kB      0
6fcb7d6556d0        6.73%               101.7 MB / 16.78 GB   0.61%               431.1 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        1.90%               7.725 MB / 16.78 GB   0.05%               332.2 MB / 1.197 GB   0 B / 0 B           0
942b37b9b20c        15.17%              49.18 MB / 16.78 GB   0.29%               2.292 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:21
178 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.65%               692.3 MB / 16.78 GB   4.13%               12.17 MB / 1.775 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               431.1 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.2 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.92 MB / 16.78 GB   0.29%               2.292 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:23
180 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.43%               692.3 MB / 16.78 GB   4.13%               12.17 MB / 1.775 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.07%               101.7 MB / 16.78 GB   0.61%               431.1 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.2 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.92 MB / 16.78 GB   0.29%               2.292 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:25
182 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.44%               692.3 MB / 16.78 GB   4.13%               12.17 MB / 1.775 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.07%               101.7 MB / 16.78 GB   0.61%               431.1 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.2 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.92 MB / 16.78 GB   0.29%               2.292 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:27
184 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        4.91%               692.4 MB / 16.78 GB   4.13%               12.18 MB / 1.78 MB    0 B / 69.63 kB      0
6fcb7d6556d0        14.80%              101.9 MB / 16.78 GB   0.61%               431.2 MB / 1.057 GB   0 B / 5.632 MB      0
a807a17d1bd8        4.48%               7.725 MB / 16.78 GB   0.05%               332.3 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        38.08%              49.32 MB / 16.78 GB   0.29%               2.293 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:29
186 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.88%               692.4 MB / 16.78 GB   4.13%               12.19 MB / 1.783 MB   0 B / 69.63 kB      0
6fcb7d6556d0        2.15%               101.7 MB / 16.78 GB   0.61%               431.3 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.96%               7.725 MB / 16.78 GB   0.05%               332.3 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        9.67%               49.38 MB / 16.78 GB   0.29%               2.293 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:31
188 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.42%               692.4 MB / 16.78 GB   4.13%               12.19 MB / 1.785 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               431.3 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.3 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        0.02%               49.15 MB / 16.78 GB   0.29%               2.293 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:33
190 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.42%               692.4 MB / 16.78 GB   4.13%               12.19 MB / 1.785 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               431.3 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.3 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        0.04%               49.15 MB / 16.78 GB   0.29%               2.293 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:35
192 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.43%               692.4 MB / 16.78 GB   4.13%               12.19 MB / 1.785 MB   0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               431.3 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.3 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        0.03%               49.15 MB / 16.78 GB   0.29%               2.293 GB / 1.028 GB   0 B / 36.86 kB      0
16/06/21 16:12:37
194 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        3.32%               692.4 MB / 16.78 GB   4.13%               12.59 MB / 1.795 MB   0 B / 69.63 kB      0
6fcb7d6556d0        11.73%              101.7 MB / 16.78 GB   0.61%               431.4 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        2.16%               7.725 MB / 16.78 GB   0.05%               332.4 MB / 1.198 GB   0 B / 0 B           0
942b37b9b20c        25.86%              48.89 MB / 16.78 GB   0.29%               2.294 GB / 1.029 GB   0 B / 36.86 kB      0
16/06/21 16:12:39
196 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.86%               692.4 MB / 16.78 GB   4.13%               12.6 MB / 1.8 MB      0 B / 69.63 kB      0
6fcb7d6556d0        7.38%               101.8 MB / 16.78 GB   0.61%               431.5 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        1.86%               7.725 MB / 16.78 GB   0.05%               332.4 MB / 1.199 GB   0 B / 0 B           0
942b37b9b20c        15.05%              49.43 MB / 16.78 GB   0.29%               2.294 GB / 1.029 GB   0 B / 36.86 kB      0
16/06/21 16:12:41
198 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.43%               692.4 MB / 16.78 GB   4.13%               12.6 MB / 1.802 MB    0 B / 69.63 kB      0
6fcb7d6556d0        0.09%               101.7 MB / 16.78 GB   0.61%               431.5 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.5 MB / 1.199 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.93 MB / 16.78 GB   0.29%               2.294 GB / 1.029 GB   0 B / 36.86 kB      0
16/06/21 16:12:43
200 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.41%               692.4 MB / 16.78 GB   4.13%               12.6 MB / 1.802 MB    0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               431.5 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.01%               7.725 MB / 16.78 GB   0.05%               332.5 MB / 1.199 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.93 MB / 16.78 GB   0.29%               2.294 GB / 1.029 GB   0 B / 36.86 kB      0
16/06/21 16:12:45
202 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.42%               692.4 MB / 16.78 GB   4.13%               12.6 MB / 1.802 MB    0 B / 69.63 kB      0
6fcb7d6556d0        0.08%               101.7 MB / 16.78 GB   0.61%               431.5 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        0.00%               7.725 MB / 16.78 GB   0.05%               332.5 MB / 1.199 GB   0 B / 0 B           0
942b37b9b20c        0.03%               48.93 MB / 16.78 GB   0.29%               2.294 GB / 1.029 GB   0 B / 36.86 kB      0
16/06/21 16:12:47
204 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        6.09%               692.4 MB / 16.78 GB   4.13%               12.65 MB / 1.809 MB   0 B / 69.63 kB      0
6fcb7d6556d0        13.34%              101.7 MB / 16.78 GB   0.61%               431.7 MB / 1.058 GB   0 B / 5.632 MB      0
a807a17d1bd8        3.48%               7.725 MB / 16.78 GB   0.05%               332.5 MB / 1.199 GB   0 B / 0 B           0
942b37b9b20c        40.59%              49.32 MB / 16.78 GB   0.29%               2.295 GB / 1.029 GB   0 B / 36.86 kB      0
16/06/21 16:12:49
206 seconds passed 
CONTAINER           CPU %               MEM USAGE / LIMIT     MEM %               NET I/O               BLOCK I/O           PIDS
f2b9f2d5b748        0.87%               692.4 MB / 16.78 GB   4.13%               12.66 MB / 1.813 MB   0 B / 69.63 kB      0
6fcb7d6556d0        2.31%               101.9 MB / 16.78 GB   0.61%               431.8 MB / 1.059 GB   0 B / 5.632 MB      0
a807a17d1bd8        1.07%               7.725 MB / 16.78 GB   0.05%               332.6 MB / 1.199 GB   0 B / 0 B           0
